Scenario_Full_ID,M_Opt,Max_Value,Error_Rate,Error_Type,Pos_Errors,Neg_Errors,Seeded_Population_Rate,Config_ID,Avg_Time_Sec,Avg_Generations,Avg_Found_M,Avg_Distance_From_Opt
M50_Max250_Err2%_both_Seed2%_CfgC,50,250,0.02,both,24,24,0.02,C,31.1682,30.4,62.2,12.2
M50_Max250_Err5%_pos_Seed0%_CfgB,50,250,0.05,pos,61,0,0.0,B,20.6461,43.3,62.7,12.7
M50_Max250_Err5%_pos_Seed2%_CfgA,50,250,0.05,pos,61,0,0.02,A,10.1702,41.4,63.5,13.5
M50_Max250_Err5%_pos_Seed0%_CfgC,50,250,0.05,pos,61,0,0.0,C,37.8847,34.2,63.9,13.9
M50_Max250_Err5%_pos_Seed2%_CfgB,50,250,0.05,pos,61,0,0.02,B,19.5897,40.6,63.2,13.2
M50_Max250_Err5%_neg_Seed0%_CfgA,50,250,0.05,neg,0,61,0.0,A,8.4402,40.1,60.5,10.5
M50_Max250_Err5%_pos_Seed2%_CfgC,50,250,0.05,pos,61,0,0.02,C,38.4991,35.6,63.3,13.3
M50_Max250_Err5%_neg_Seed0%_CfgB,50,250,0.05,neg,0,61,0.0,B,19.5863,46.2,59.9,9.9
M50_Max250_Err5%_neg_Seed2%_CfgA,50,250,0.05,neg,0,61,0.02,A,8.7184,39.5,61,11
M50_Max250_Err5%_neg_Seed0%_CfgC,50,250,0.05,neg,0,61,0.0,C,36.8601,38.1,60.9,10.9
M50_Max250_Err5%_neg_Seed2%_CfgB,50,250,0.05,neg,0,61,0.02,B,17.2868,41,59.8,9.8
M50_Max250_Err5%_both_Seed0%_CfgA,50,250,0.05,both,61,61,0.0,A,9.249,39.1,62.3,12.3
M50_Max250_Err5%_neg_Seed2%_CfgC,50,250,0.05,neg,0,61,0.02,C,37.9647,36.7,61.1,11.1
M50_Max250_Err5%_both_Seed0%_CfgB,50,250,0.05,both,61,61,0.0,B,24.4969,51.5,61.6,11.6
M50_Max250_Err5%_both_Seed2%_CfgA,50,250,0.05,both,61,61,0.02,A,9.0105,37.7,62.5,12.5
M50_Max250_Err5%_both_Seed0%_CfgC,50,250,0.05,both,61,61,0.0,C,44.0538,40.6,62.2,12.2
M50_Max250_Err5%_both_Seed2%_CfgB,50,250,0.05,both,61,61,0.02,B,19.8132,41.8,61.7,11.7
M50_Max250_Err5%_both_Seed2%_CfgC,50,250,0.05,both,61,61,0.02,C,40.0552,37.1,62.5,12.5
M50_Max500_Clean_Seed0%_CfgA,50,500,0.0,none,0,0,0.0,A,19.7287,39.5,72.7,22.7
